        TIME,    TIDE,      OB,   SURGE,    BIAS,     TWL,SURGE90p,  TWL90p,SURGE10p,   TWL10p
202602241800,   2.447,   3.368,   0.700,   0.221,   3.368,   0.600,   3.268,   0.700,   3.368
202602241806,   2.488,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602241812,   2.528,   3.398,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602241818,   2.565,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602241824,   2.600,   3.470,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602241830,   2.632,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602241836,   2.662,   3.539,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602241842,   2.689,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602241848,   2.713,   3.598,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602241854,   2.734,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602241900,   2.751,   3.637,   0.600,   0.286,   3.637,   0.500,   3.537,   0.700,   3.737
202602241906,   2.765,   3.660,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602241912,   2.774,   3.637,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602241918,   2.780,   3.627,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602241924,   2.781,   3.598,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602241930,   2.777,   3.588,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602241936,   2.770,   3.598,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602241942,   2.757,   3.548,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602241948,   2.740,   3.529,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602241954,   2.718,   3.499,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602242000,   2.692,   3.480,   0.500,   0.288,   3.480,   0.400,   3.380,   0.600,   3.580
202602242006,   2.660,   3.407,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602242012,   2.625,   3.339,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602242018,   2.584,   3.289,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602242024,   2.540,   3.230,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602242030,   2.491,   3.168,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602242036,   2.438,   3.079,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602242042,   2.382,   3.007,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602242048,   2.322,   2.919,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602242054,   2.259,   2.869,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602242100,   2.194,   2.797,   0.400,   0.203,   2.797,   0.300,   2.697,   0.500,   2.897
202602242106,   2.126,   2.709,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602242112,   2.056,   2.640,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602242118,   1.985,   2.578,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602242124,   1.913,   2.519,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602242130,   1.840,   2.450,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602242136,   1.767,   2.368,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602242142,   1.693,   2.309,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602242148,   1.620,   2.230,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602242154,   1.548,   2.148,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602242200,   1.477,   2.089,   0.400,   0.212,   2.089,   0.300,   1.989,   0.500,   2.189
202602242206,   1.407,   2.020,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602242212,   1.338,   1.938,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602242218,   1.271,   1.869,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602242224,   1.206,   1.790,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602242230,   1.143,   1.738,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602242236,   1.082,   1.669,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602242242,   1.022,   1.610,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602242248,   0.965,   1.538,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602242254,   0.910,   1.479,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602242300,   0.857,   1.430,   0.300,   0.273,   1.430,   0.200,   1.330,   0.400,   1.530
202602242306,   0.805,   1.371,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602242312,   0.756,   1.308,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602242318,   0.708,   1.259,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602242324,   0.661,   1.200,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602242330,   0.617,   1.138,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602242336,   0.573,   1.079,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602242342,   0.531,   1.020,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602242348,   0.491,   0.961,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602242354,   0.451,   0.898,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250000,   0.413,   0.859,   0.200,   0.246,   0.859,   0.200,   0.859,   0.300,   0.959
202602250006,   0.377,   0.810,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250012,   0.342,   0.770,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250018,   0.308,   0.731,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250024,   0.276,   0.698,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250030,   0.247,   0.669,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250036,   0.219,   0.649,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250042,   0.194,   0.619,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250048,   0.171,   0.619,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250054,   0.152,   0.610,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250100,   0.135,   0.610,   0.200,   0.275,   0.610,   0.100,   0.510,   0.200,   0.610
202602250106,   0.122,   0.610,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250112,   0.113,   0.600,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250118,   0.108,   0.610,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250124,   0.107,   0.629,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250130,   0.110,   0.619,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250136,   0.118,   0.619,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250142,   0.130,   0.629,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250148,   0.148,   0.619,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250154,   0.170,   0.629,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250200,   0.197,   0.669,   0.100,   0.372,   0.669,   0.100,   0.669,   0.200,   0.769
202602250206,   0.229,   0.698,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250212,   0.266,   0.751,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250218,   0.308,   0.810,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250224,   0.354,   0.888,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250230,   0.405,   0.970,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250236,   0.460,   1.049,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250242,   0.518,   1.088,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250248,   0.580,   1.128,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250254,   0.646,   1.170,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250300,   0.714,   1.200,   0.100,   0.386,   1.200,   0.000,   1.100,   0.100,   1.200
202602250306,   0.785,   1.239,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250312,   0.858,   1.298,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250318,   0.934,   1.348,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250324,   1.010,   1.400,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250330,   1.088,   1.459,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250336,   1.167,   1.518,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250342,   1.247,   1.571,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250348,   1.327,   1.639,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250354,   1.408,   1.718,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250400,   1.488,   1.790,   0.100,   0.202,   1.790,   0.000,   1.690,   0.100,   1.790
202602250406,   1.568,   1.849,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250412,   1.648,   1.918,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250418,   1.727,   1.981,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250424,   1.805,   2.040,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250430,   1.882,   2.109,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250436,   1.959,   2.177,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250442,   2.035,   2.250,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250448,   2.110,   2.318,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250454,   2.183,   2.387,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250500,   2.256,   2.450,   0.100,   0.094,   2.450,   0.000,   2.350,   0.100,   2.450
202602250506,   2.328,   2.509,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250512,   2.398,   2.587,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250518,   2.467,   2.650,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250524,   2.535,   2.719,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250530,   2.602,   2.787,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250536,   2.668,   2.850,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250542,   2.732,   2.919,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250548,   2.795,   2.978,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250554,   2.856,   3.050,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250600,   2.916,   3.109,   0.100,   0.093,   3.109,   0.000,   3.009,   0.100,   3.109
202602250606,   2.975,   3.168,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250612,   3.031,   3.230,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250618,   3.086,   3.299,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250624,   3.138,   3.358,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250630,   3.189,   3.407,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250636,   3.237,   3.480,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250642,   3.283,   3.529,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250648,   3.326,   3.588,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250654,   3.366,   3.617,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250700,   3.404,   3.680,   0.100,   0.176,   3.680,   0.000,   3.580,   0.200,   3.780
202602250706,   3.438,   3.709,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250712,   3.468,   3.749,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250718,   3.495,   3.788,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250724,   3.518,   3.817,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250730,   3.538,   3.847,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250736,   3.553,   3.880,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250742,   3.564,   3.909,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250748,   3.570,   3.909,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250754,   3.572,   3.909,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250800,   3.569,   3.890,   0.100,   0.221,   3.890,   0.100,   3.890,   0.200,   3.990
202602250806,   3.562,   3.909,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250812,   3.549,   3.899,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250818,   3.532,   3.890,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250824,   3.510,   3.880,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250830,   3.484,   3.827,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250836,   3.452,   3.798,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250842,   3.416,   3.749,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250848,   3.376,   3.709,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250854,   3.331,   3.670,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250900,   3.283,   3.588,   0.100,   0.205,   3.588,   0.100,   3.588,   0.100,   3.588
202602250906,   3.230,   3.529,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250912,   3.174,   3.450,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250918,   3.115,   3.378,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250924,   3.053,   3.329,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250930,   2.989,   3.260,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250936,   2.922,   3.178,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250942,   2.853,   3.099,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250948,   2.783,   3.017,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602250954,   2.712,   2.929,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602251000,   2.640,   2.840,   0.100,   0.100,   2.840,   0.100,   2.840,   0.100,   2.840
202602251006,   2.567,   2.768,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602251012,   2.494,   2.699,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602251018,   2.422,   2.630,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602251024,   2.350,   2.558,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602251030,   2.278,   2.489,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602251036,   2.208,   2.420,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602251042,   2.138,   2.348,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
